run_id,selection_split,test_split,model,precision_requested,precision_resolved,effective_input_channels,width,backbone_output_channels,embedding_dim,dropout,stage_depths,stem_stride,reparameterize_depthwise,classification_head,label_smoothing,logit_scale,angular_margin,margin_warmup_ratio,epochs,resolved_epochs,batch_size,world_size,effective_global_batch_size,optimizer_step_policy,reference_batch_size,total_optimizer_steps,image_size,validation_top1,validation_top5,validation_macro_recall,validation_tail_recall,top1,top5,macro_recall,head_recall,mid_recall,tail_recall,expected_calibration_error,parameter_count,backbone_parameter_count,embedding_projection_parameter_count,classifier_parameter_count,head_parameter_count,estimated_macs,estimated_backbone_macs,estimated_embedding_projection_macs,estimated_classifier_macs,estimated_head_macs,estimated_flops,estimated_backbone_flops,estimated_embedding_projection_flops,estimated_classifier_flops,estimated_head_flops,mac_coverage_complete,unsupported_operator_types,unsupported_mac_operator_types,flop_coverage_complete,unsupported_flop_operator_types,full_class_num_classes,full_class_parameter_count,full_class_estimated_macs,full_class_estimated_flops,latency_p50_ms,latency_p95_ms,latency_p99_ms,end_to_end_latency_p50_ms,end_to_end_latency_p95_ms,end_to_end_latency_p99_ms,samples_per_second,peak_inference_cuda_memory_mib,peak_training_cuda_memory_mib,learning_rate,resolved_learning_rate,learning_rate_scaling,lr_warmup_ratio,weight_decay,scheduler,seed,max_classes
20260913T114748Z-064d3b6b,validation,test,resnet18,bfloat16,bfloat16,1,,512,512,,,,,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.974994413995242,0.9955574832748446,0.9755881782538153,0.9765815319391611,0.964887632881997,0.992832588888829,0.9684058882846942,0.9596187283533555,0.9681469879031476,0.9779699295279529,0.01706154316894784,14849472,11170240,0,3679232,3679232,322331648,318652416,0,3679232,3679232,647382455,640000896,0,7381559,7381559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Identity"", ""MaxPool2d"", ""ReLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Identity"", ""MaxPool2d"", ""ReLU""]",True,[],7186,14849472,322331648,647382455,6.4286999986507,7.6089000212959945,9.734399995068088,,,,155.71962870341696,,875.701171875,0.0003,0.0003,none,0.0,0.0001,cosine,7,7186
20260913T114748Z-d2e5e0a9,validation,test,efficient_hccr,bfloat16,bfloat16,1,80,320,320,0.1,"2,3,3",2,False,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9729473075457067,0.9952190371042151,0.9741676104847989,0.9770629963059844,0.9601677290042404,0.9918560106036197,0.9652249771599537,0.9529853193859699,0.9648313051006168,0.9786459250660613,0.0054479436696315015,2715360,415840,0,2299520,2299520,128351360,126051840,0,2299520,2299520,272698039,268076480,0,4621559,4621559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""ModuleList"", ""SiLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""ModuleList"", ""SiLU""]",True,[],7186,2715360,128351360,272698039,4.987199994502589,6.323299981886521,7.144100003642961,,,,195.40060200208893,,2652.595703125,0.0003,0.0003,none,0.0,0.0001,cosine,7,7186
20260913T141457Z-dc1f3121,validation,test,resnet18,bfloat16,bfloat16,1,,512,512,,,,,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9748859797852345,0.9955706268154515,0.975920739633775,0.9783853328602352,0.9632968205305042,0.99234497324849,0.9673767298024746,0.9578897461326799,0.966474071638516,0.979572316118748,0.01761736642354281,14849472,11170240,0,3679232,3679232,322331648,318652416,0,3679232,3679232,647382455,640000896,0,7381559,7381559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Identity"", ""MaxPool2d"", ""ReLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Identity"", ""MaxPool2d"", ""ReLU""]",True,[],7186,14849472,322331648,647382455,5.889799998840317,7.816600002115592,9.07339999685064,,,,161.23851818652733,,875.701171875,0.0003,0.0003,none,0.0,0.0001,cosine,17,7186
20260913T161718Z-010aca1f,validation,test,efficient_hccr,bfloat16,bfloat16,1,80,320,320,0.1,"2,3,3",2,False,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9726285766859877,0.9953373289696779,0.973422690728793,0.9751202915971002,0.9634126629201981,0.9928379769069543,0.9672179679384061,0.9581847636505154,0.9671002373335613,0.9766044459688786,0.005031430148102816,2715360,415840,0,2299520,2299520,128351360,126051840,0,2299520,2299520,272698039,268076480,0,4621559,4621559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""ModuleList"", ""SiLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""ModuleList"", ""SiLU""]",True,[],7186,2715360,128351360,272698039,5.625999998301268,7.897600007709116,10.133900010259822,,,,169.36613706453002,,2652.595703125,0.0003,0.0003,none,0.0,0.0001,cosine,17,7186
20260913T164520Z-301a9fa4,validation,test,resnet18,bfloat16,bfloat16,1,,512,512,,,,,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9750009857655455,0.9954490490648371,0.9758401394777876,0.9777007847376369,0.9641090642628922,0.9924810207061536,0.9678293799875705,0.958872492257637,0.9673159773416892,0.9783268329290832,0.017230959775190985,14849472,11170240,0,3679232,3679232,322331648,318652416,0,3679232,3679232,647382455,640000896,0,7381559,7381559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Identity"", ""MaxPool2d"", ""ReLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Identity"", ""MaxPool2d"", ""ReLU""]",True,[],7186,14849472,322331648,647382455,6.68200000654906,8.36359997629188,11.40839999425225,,,,145.70144319628056,,875.701171875,0.0003,0.0003,none,0.0,0.0001,cosine,29,7186
20260913T191551Z-65601f65,validation,test,mobilenet_v3_small,bfloat16,bfloat16,1,,576,1024,,,,,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9528672633834102,0.9918444330533759,0.9557409977248115,0.9635131151764538,0.9419171646093417,0.9889949729790891,0.9485889408376479,0.9316529093749041,0.9479119279642456,0.9675564820499472,0.021459346041467636,8876032,926720,590848,7358464,7949312,17742272,9793984,589824,7358464,7948288,37517215,21589864,1185792,14741559,15927351,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Hardsigmoid"", ""Hardswish"", ""Identity"", ""ReLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Hardsigmoid"", ""Hardswish"", ""Identity"", ""ReLU""]",True,[],7186,8876032,17742272,37517215,5.066299985628575,7.095599983585998,8.528299978934228,,,,187.75612285468853,,688.31689453125,0.0003,0.0003,none,0.0,0.0001,cosine,7,7186
20260913T204726Z-7a8640ae,validation,test,efficient_hccr,bfloat16,bfloat16,1,80,320,320,0.1,"2,3,3",2,False,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9719319690338183,0.9951106028942076,0.9737134241714177,0.9778773942566263,0.9584691562902418,0.9911878963560833,0.9641794185586208,0.9497993640654059,0.9637385008329372,0.9798825330609846,0.005224311661018409,2715360,415840,0,2299520,2299520,128351360,126051840,0,2299520,2299520,272698039,268076480,0,4621559,4621559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""ModuleList"", ""SiLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""ModuleList"", ""SiLU""]",True,[],7186,2715360,128351360,272698039,1.8491999944671988,2.5454999995417893,3.182400017976761,,,,528.4173608696939,,2652.595703125,0.0003,0.0003,none,0.0,0.0001,cosine,29,7186
20260913T225308Z-d5c6a2be,validation,test,mobilenet_v3_small,bfloat16,bfloat16,1,,576,1024,,,,,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9520983662579026,0.9915191304233535,0.9550590921916322,0.9622031561874532,0.9398158375404775,0.9884480891393719,0.9471536048213111,0.9289531432587446,0.9462717526877878,0.9680002364602529,0.022134969193405504,8876032,926720,590848,7358464,7949312,17742272,9793984,589824,7358464,7948288,37517215,21589864,1185792,14741559,15927351,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Hardsigmoid"", ""Hardswish"", ""Identity"", ""ReLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Hardsigmoid"", ""Hardswish"", ""Identity"", ""ReLU""]",True,[],7186,8876032,17742272,37517215,4.510500002652407,6.482600001618266,7.435199979227036,,,,206.57258174766764,,688.31689453125,0.0003,0.0003,none,0.0,0.0001,cosine,17,7186
20260914T022812Z-dfe2412b,validation,test,mobilenet_v3_small,bfloat16,bfloat16,1,,576,1024,,,,,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9503601330126309,0.9911281100902961,0.9533304410543737,0.9609263186462061,0.9390399629304353,0.9883255117270214,0.9457847569938986,0.9289402298893865,0.9449771611092117,0.9650526337537826,0.02164371404830717,8876032,926720,590848,7358464,7949312,17742272,9793984,589824,7358464,7948288,37517215,21589864,1185792,14741559,15927351,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Hardsigmoid"", ""Hardswish"", ""Identity"", ""ReLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Hardsigmoid"", ""Hardswish"", ""Identity"", ""ReLU""]",True,[],7186,8876032,17742272,37517215,4.693599999882281,6.879799999296665,7.6772000174969435,,,,202.84454995940462,,688.31689453125,0.0003,0.0003,none,0.0,0.0001,cosine,29,7186
20260914T040219Z-d03507d1,validation,test,efficient_hccr,bfloat16,bfloat16,1,80,320,320,0.1,"2,3,3",2,True,cosface,0.0,32.0,0.1,0.2,20,20,256,1,256,configured_epochs,256,216780,96,0.9732693242905774,0.99536033016574,0.9747188555160389,0.9791040338943579,0.9585351595122766,0.9914626852804733,0.9643582442540124,0.9504908566378578,0.9636585371937709,0.9803252399729936,0.005578058378559894,2728960,429440,0,2299520,2299520,132636800,130337280,0,2299520,2299520,288416759,283795200,0,4621559,4621559,False,"[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""SiLU""]","[""AdaptiveAvgPool2d"", ""BatchNorm2d"", ""Dropout"", ""Identity"", ""SiLU""]",True,[],7186,2728960,132636800,288416759,2.7845000149682164,3.882399993017316,5.1503999857231975,,,,340.5703975286971,,3381.50537109375,0.0003,0.0003,none,0.0,0.0001,cosine,7,7186
