run_id,seed,model,classification_head,reparameterize_depthwise,device,parameter_count,estimated_macs,estimated_flops,flop_coverage_complete,eager_batch1_p50_ms,eager_batch1_p95_ms,optimized_parameter_count,optimized_estimated_macs,optimized_estimated_flops,optimized_flop_coverage_complete,optimized_batch1_p50_ms,optimized_batch1_p95_ms,checkpoint_sha256
20260914T040219Z-d03507d1,7,efficient_hccr,cosface,True,cuda,2728960,132636800,288416759,True,7.115100001101382,8.21550001273863,2712320,128351360,267646199,True,2.9943999979877844,3.7733999924967065,e8b0f3635a75823dc4d5c51ffb9ca09b96f8794b08800d2018c7ca1b7fce4c6c
20260914T114052Z-00692c42,17,efficient_hccr,cosface,True,cuda,2728960,132636800,288416759,True,7.229199996800162,9.021000005304813,2712320,128351360,267646199,True,3.0208999960450456,3.7995000020600855,902788a90459513f8ac19917e1fa32fce231aa64dd07171a5446b5a6f1827266
20260914T191814Z-89bc5055,29,efficient_hccr,cosface,True,cuda,2728960,132636800,288416759,True,7.1641000104136765,8.917099999962375,2712320,128351360,267646199,True,1.4316000015242025,2.5865000061457977,18aa8434f82c42bcc641d0edacc0f2c2348c94a9b41fbd883f94f6bf6088ecd3
