target,target_label,prediction,prediction_label,count
2494,暌,3980,睽,10
2564,来,4677,耒,10
2590,果,2572,杲,10
2626,查,2573,杳,10
2803,槽,4430,糟,10
2809,模,2305,摸,10
2818,橇,2321,撬,10
2962,江,2950,汇,10
2966,汨,2967,汩,10
2967,汩,2966,汨,10
3053,泽,5639,译,10
3058,洋,5660,详,10
3063,洗,5650,诜,10
3161,淑,3226,溆,10
3173,淮,5686,谁,10
3288,漫,5724,谩,10
3307,潭,5728,谭,10
3381,炯,3421,焖,10
3692,瑰,6923,魂,10
3972,睢,6628,雎,10
4024,矾,4039,砜,10
4262,竖,1053,坚,10
4290,笤,4288,笞,10
4458,纤,4455,纡,10
4476,纷,2976,汾,10
4545,绿,3182,渌,10
4675,耍,5551,要,10
4852,膘,3991,瞟,10
4950,芙,5059,荚,10
5106,获,5081,荻,10
5152,营,5115,菅,10
5388,蜻,5409,蝽,10
5550,西,6193,酉,10
5615,讷,2969,汭,10
5673,说,5715,谠,10
5702,谒,4270,竭,10
5787,贷,5771,货,10
5896,踏,5924,蹐,10
6017,辩,6016,辨,10
6307,钩,6305,钧,10
6874,骛,7082,鹜,10
28,丧,5470,表,9
68,乡,1765,彡,9
86,五,3608,王,9
118,仅,646,反,9
231,侗,287,倜,9
279,倍,262,信,9
352,儿,431,几,9
396,冒,2441,昌,9
549,勿,552,匆,9
574,匿,569,匮,9
639,叁,640,参,9
684,合,375,兮,9
1045,坊,1032,圬,9
1208,夫,1209,夬,9
1620,已,1621,巳,9
1709,庾,1712,廋,9
2017,戌,2018,戍,9
2104,抱,2098,抢,9
2306,摹,5217,蓦,9
2452,昧,3967,睐,9
2525,朋,4787,胴,9
2536,未,2537,末,9
2537,末,2536,未,9
2561,束,2628,柬,9
2624,柠,2140,拧,9
2667,桃,2162,挑,9
2693,桶,2694,桷,9
2747,椰,2262,揶,9
2753,楔,2260,揳,9
2921,氓,3042,泯,9
2999,沦,5618,论,9
3156,淆,3108,浠,9
3585,猬,3590,猸,9
3755,甸,2423,旬,9
3798,疤,3806,疱,9
3932,盲,4727,肓,9
4008,矛,76,予,9
4139,祖,5489,袒,9
4190,秧,4191,秩,9
4498,绎,4510,绛,9
4659,翩,4660,翮,9
4816,脾,3974,睥,9
4992,苘,5046,茼,9
5052,草,5141,萆,9
5258,薛,5259,薜,9
5395,蝎,5447,蠋,9
5460,行,4455,纡,9
5485,袆,4137,祎,9
5551,要,4675,耍,9
5736,谵,3329,澹,9
6193,酉,5550,西,9
6331,铁,6349,铗,9
6721,顽,6727,颃,9
6853,骂,4276,笃,9
7057,鸽,7045,鸰,9
33,中,3752,申,8
79,二,92,亠,8
102,京,101,享,8
164,优,160,伏,8
178,伯,214,佰,8
252,俏,284,倘,8
382,具,638,县,8
419,冽,3059,洌,8
436,凯,5562,觊,8
465,创,469,刨,8
557,匕,3,七,8
646,反,118,仅,8
1018,图,1015,囹,8
1228,奏,4189,秦,8
1249,妄,1273,妾,8
1278,姑,1287,姞,8
1385,孤,1747,弧,8
1411,官,1426,宫,8
1562,峰,1549,峄,8
1699,度,1682,庋,8
1711,廊,1715,廓,8
1942,惟,1651,帷,8
2018,戍,2017,戌,8
2098,抢,2097,抡,8
2109,抽,2620,柚,8
2139,拦,2645,栏,8
2152,拼,2131,拚,8
2466,晌,798,响,8
2539,札,2055,扎,8
2554,杏,2573,杳,8
2616,染,2695,梁,8
2817,橄,2316,撖,8
2894,毋,2895,母,8
2900,比,2860,此,8
3004,沫,5642,诔,8
3066,洛,3081,洺,8
3222,湾,3250,滂,8
3291,漱,3334,濑,8
3481,父,1191,夂,8
3608,王,86,五,8
3815,疾,3838,痪,8
3821,痈,3839,痫,8
3853,瘐,3864,瘦,8
3890,白,4881,臼,8
3930,盯,3756,町,8
3949,眠,3962,眼,8
3989,瞑,2498,暝,8
4146,祟,1567,崇,8
4509,绚,1786,徇,8
4524,绩,4556,缋,8
4595,缴,1806,徼,8
4628,羔,1880,恙,8
4644,翁,4650,翕,8
4811,脯,2477,晡,8
4968,芳,4944,芎,8
5044,茹,5116,菇,8
5200,蒿,5214,蓠,8
5333,蛀,5352,蛭,8
5462,衔,5463,街,8
5475,衰,5509,裒,8
5561,觉,367,党,8
5681,诼,3152,涿,8
6099,遇,6101,遏,8
6171,部,6163,郚,8
6303,钥,6326,钼,8
6404,锐,6460,镋,8
6508,闭,6513,闲,8
6563,阴,6562,阳,8
6717,项,6720,顼,8
7106,麇,7108,麋,8
47,久,1191,夂,7
49,么,1672,幺,7
82,亏,2401,方,7
93,亡,5594,讠,7
192,住,223,侄,7
215,佳,6615,隹,7
221,使,246,便,7
236,侥,4505,绕,7
344,僳,323,傈,7
355,元,94,亢,7
355,元,2416,无,7
362,免,364,兔,7
370,入,372,八,7
413,决,5623,诀,7
438,凳,3889,登,7
548,勾,553,匈,7
615,厂,2,丁,7
684,合,709,含,7
758,咋,2453,昨,7
1010,园,1017,国,7
1011,困,1007,团,7
1063,坨,1086,垞,7
1075,垃,2118,拉,7
1349,嫒,1338,媛,7
1467,小,1809,忄,7
1471,尖,1472,尘,7
1553,峡,1565,崃,7
1625,巾,33,中,7
1667,干,81,于,7
1796,徘,272,俳,7
2074,扶,2168,挟,7
2120,拌,2611,柈,7
2126,拔,2141,拨,7
2187,捆,2237,掴,7
2194,捐,2251,揖,7
2201,捧,2719,棒,7
2245,揉,2282,搡,7
2313,撑,2317,撙,7
2355,改,3616,玟,7
2380,文,1191,夂,7
2452,昧,746,味,7
2457,昴,2436,昂,7
2468,晒,791,哂,7
2478,晤,835,唔,7
2499,暧,2496,暖,7
2535,木,2538,本,7
2542,朴,2056,扑,7
2550,杈,2548,权,7
2569,杭,2091,抗,7
2591,枝,2080,技,7
2632,柳,2085,抑,7
2645,栏,2139,拦,7
2693,桶,2186,捅,7
2772,榆,2243,揄,7
2898,毒,2897,毐,7
2918,氏,2919,氐,7
2931,氢,2930,氡,7
2933,氦,2937,氪,7
2938,氮,2937,氪,7
2990,沘,3029,泚,7
3016,沿,3012,治,7
3037,泥,3042,泯,7
3123,消,5667,诮,7
3159,淌,3123,消,7
3583,猪,3570,猎,7
3585,猬,3560,狷,7
3612,玖,3623,玫,7
3694,瑷,3683,瑗,7
3935,盹,3943,眊,7
4275,竿,4274,竽,7
4327,筹,4306,等,7
4395,籽,4678,耔,7
4479,纺,1777,彷,7
4559,缎,6445,锻,7
4588,缭,3306,潦,7
4595,缴,3331,激,7
4741,肪,4734,肟,7
4763,胎,3946,眙,7
4775,胧,2461,昽,7
4890,舍,709,含,7
4934,艺,4946,芑,7
4961,芫,4951,芜,7
4996,苟,5047,荀,7
5008,苹,6673,革,7
5034,茫,5039,茳,7
5067,荤,5069,荦,7
5096,莨,5029,茛,7
5101,莱,5123,菜,7
5116,菇,5044,茹,7
5118,菌,5041,茵,7
5170,董,1132,堇,7
5179,葸,5199,蒽,7
5393,蝉,5385,蜱,7
5495,袪,4142,祛,7
5511,裕,5500,袷,7
5690,谅,5691,谆,7
5693,谈,3673,琰,7
5706,谖,3221,湲,7
5733,谲,3300,潏,7
5797,赁,435,凭,7
5877,跤,5890,跻,7
6026,迂,6025,迁,7
6030,迈,6033,近,7
6032,运,6040,远,7
6105,道,6104,遒,7
6134,邦,6149,邽,7
6148,邻,6159,郐,7
6212,酩,6213,酪,7
6304,钦,6299,钡,7
6335,铅,6354,铝,7
6368,铬,6369,铭,7
6369,铭,6368,铬,7
6397,锉,6387,铿,7
6562,阳,6563,阴,7
6730,领,6736,颌,7
6730,领,6742,颔,7
6961,鲛,6960,鲚,7
7049,鸵,4911,舵,7
7070,鹊,7071,鹋,7
26,两,6633,雨,6
50,义,45,乂,6
51,之,93,亡,6
58,乓,380,兵,6
61,乘,60,乖,6
94,亢,355,元,6
100,亩,1412,宙,6
106,亳,2908,毫,6
122,今,139,令,6
132,付,5602,讨,6
153,仿,1777,彷,6
183,伸,146,仲,6
214,佰,178,伯,6
226,例,281,倒,6
246,便,4515,绠,6
281,倒,226,例,6
340,僬,3426,焦,6
357,充,366,兖,6
371,全,6257,金,6
392,冈,4604,网,6
422,准,3173,淮,6
430,凝,3785,疑,6
433,凤,6760,风,6
465,创,493,剑,6
469,刨,465,创,6
490,剌,480,刺,6
494,剔,471,别,6
641,又,642,叉,6
651,变,1302,娈,6
658,句,550,匀,6
678,叼,660,叨,6
682,各,5738,谷,6
692,向,196,何,6
701,吟,741,呤,6
703,吡,745,呲,6
716,吴,2440,昊,6
848,唱,899,喝,6
1005,因,1006,囡,6
1012,囱,1004,囟,6
1017,国,1002,囝,6
1023,圈,1026,圜,6
1118,域,1108,城,6
1123,埴,1159,填,6
1274,姆,1293,姻,6
1320,婆,1305,娑,6
1402,宇,1375,字,6
1476,尢,1477,尤,6
1477,尤,3524,犬,6
1483,尸,601,卩,6
1534,岣,1550,峋,6
1569,崔,6619,雀,6
1715,廓,1711,廊,6
1726,廿,3736,甘,6
1890,恫,1932,惆,6
1890,恫,2676,桐,6
1988,慨,2770,概,6
2053,扌,1456,寸,6
2135,拢,2072,扰,6
2183,挽,2199,换,6
2198,捡,2122,拎,6
2249,提,2188,捉,6
2276,搓,2793,槎,6
2321,撬,2818,橇,6
2393,斤,617,厅,6
2429,旴,3931,盱,6
2430,时,4729,肘,6
2453,昨,4766,胙,6
2460,昼,3783,疍,6
2497,暗,894,喑,6
2540,术,2948,求,6
2549,杆,2063,扦,6
2573,杳,2626,查,6
2579,板,2073,扳,6
2580,极,2100,报,6
2585,析,2092,折,6
2607,枸,2557,杓,6
2607,枸,2647,栒,6
2630,柰,1224,奈,6
2648,栓,2149,拴,6
2662,栽,5981,载,6
2666,桂,2157,挂,6
2708,械,2801,槭,6
2719,棒,2201,捧,6
2737,椋,2735,椁,6
2765,楷,2256,揩,6
2781,榜,2275,搒,6
2823,橡,2750,椽,6
2935,氨,2937,氪,6
2935,氨,2938,氮,6
2950,汇,2962,江,6
2994,沟,3017,泃,6
3006,沮,3039,泪,6
3019,泅,3028,泗,6
3039,泪,3006,沮,6
3039,泪,3056,洄,6
3053,泽,3065,洚,6
3066,洛,3117,浴,6
3104,浙,3185,渐,6
3113,浩,3055,洁,6
3145,涪,3116,浯,6
3151,涸,3057,洇,6
3202,渴,5702,谒,6
3388,炼,3391,烁,6
3479,爱,3478,爰,6
3623,玫,2355,改,6
3908,皿,1001,四,6
4191,秩,4190,秧,6
4405,粟,2650,栗,6
4434,糵,5282,蘖,6
4468,纯,6783,饨,6
4470,纱,2991,沙,6
4483,线,3088,浅,6
4507,绘,3095,浍,6
4508,给,4519,绤,6
4517,绢,3128,涓,6
4517,绢,4555,缉,6
4518,绣,6396,锈,6
4527,续,3184,渎,6
4570,缚,3236,溥,6
4812,脱,4806,脘,6
4819,腊,4818,腈,6
4930,色,6124,邑,6
4933,艹,1725,廾,6
4991,苗,5041,茵,6
5001,若,5002,苦,6
5056,荒,5045,茺,6
5062,荞,5064,荠,6
5064,荠,5062,荞,6
5123,菜,5101,莱,6
5145,萎,5142,萋,6
5169,葡,5140,萄,6
5172,葫,5195,蒴,6
5199,蒽,5179,葸,6
5281,蘑,4113,磨,6
5282,蘖,4434,糵,6
5470,表,28,丧,6
5595,计,5602,讨,6
5598,认,5597,讣,6
5603,让,2992,沚,6
5607,议,2953,汊,6
5609,记,4464,纪,6
5616,许,5600,讦,6
5634,诌,5689,谄,6
5640,诒,3012,治,6
5683,课,3174,深,6
5686,谁,4534,维,6
5725,谪,3275,滴,6
5735,谴,6110,遣,6
5777,购,4789,胸,6
5784,贴,5791,贻,6
6040,远,6032,运,6
6067,选,6052,迭,6
6175,郴,2698,梆,6
6333,铃,6302,钤,6
6465,镐,6478,镝,6
6511,闰,6524,闽,6
6532,阅,6538,阋,6
6849,驾,2605,架,6
6870,骗,6878,骟,6
6989,鲸,6972,鲧,6
7049,鸵,6847,驼,6
7107,麈,6270,鏖,6
2,丁,75,了,5
